base.id,base.currenthp,base.morale,base.populationList,base.status
0,100,49,2,peace
1,100,49,2,peace

0,100,68,2,peace
1,100,48,2,peace

0,100,67,2,peace
1,100,57,2,peace

0,100,86,2,peace
1,100,56,2,peace

0,100,85,2,peace
1,100,55,2,peace

0,100,84,2,peace
1,100,94,2,peace

0,100,83,2,peace
1,100,50,3,peace

0,100,82,2,peace
1,100,49,3,peace

0,100,81,2,peace
1,100,68,3,peace

0,100,70,1,war
1,100,50,4,war

0,98,69,1,war
1,100,69,4,war

0,92,68,1,war
1,98,68,4,war

0,88,87,1,war
1,96,87,4,war

0,84,50,2,war
1,94,86,4,war

0,80,49,2,war
1,92,50,5,war

0,74,48,2,war
1,88,69,5,war

0,68,67,2,war
1,84,68,5,war

0,60,66,2,war
1,82,87,5,war

0,52,65,2,war
1,80,50,6,war

0,76,69,6,war

